AE: Kendall Tau: 0.6, Pearson: 0.988651866280678, Linear Coefficient: 0.9787439306802964
CZ: Kendall Tau: 0.6176470588235293, Pearson: 0.9754429004108139, Linear Coefficient: 0.8687403558314645
DE: Kendall Tau: 0.7254901960784316, Pearson: 0.988551126414136, Linear Coefficient: 0.9550427302655148
DK: Kendall Tau: 0.7523809523809525, Pearson: 0.9892010043295157, Linear Coefficient: 1.0157292255023875
DM: Kendall Tau: 0.6666666666666669, Pearson: 0.8502274344743688, Linear Coefficient: 0.8885518742115861
DO: Kendall Tau: 0.7777777777777777, Pearson: 0.9906700768295845, Linear Coefficient: 0.9889447975083279
DZ: Kendall Tau: 0.6666666666666669, Pearson: 0.9935815930994157, Linear Coefficient: 0.9461198566605915
EC: Kendall Tau: 0.8382352941176471, Pearson: 0.9408735752074959, Linear Coefficient: 0.8298698009545098
EE: Kendall Tau: 0.7454545454545454, Pearson: 0.9927196018107769, Linear Coefficient: 0.9424825664429438
EG: Kendall Tau: 0.8666666666666666, Pearson: 0.9977036118706708, Linear Coefficient: 0.9902796284913958
ES: Kendall Tau: 0.9272727272727274, Pearson: 0.9960371310114186, Linear Coefficient: 1.0376612206704576
FI: Kendall Tau: 0.6666666666666666, Pearson: 0.9191648526153753, Linear Coefficient: 0.8033319495946655
FJ: Kendall Tau: 1.0, Pearson: 0.9544581230401492, Linear Coefficient: 0.8421813600416185
FM: Kendall Tau: 0.7999999999999999, Pearson: 0.9983193104424942, Linear Coefficient: 1.0330175076843078
FR: Kendall Tau: 0.8571428571428571, Pearson: 0.9453102584801067, Linear Coefficient: 0.8237978698058691
GA: Kendall Tau: 1.0, Pearson: 0.925165140976373, Linear Coefficient: 1.0979430660300722
GB: Kendall Tau: 0.7499999999999999, Pearson: 0.8741105136668483, Linear Coefficient: 0.768628557186696
GD: Kendall Tau: 0.6666666666666669, Pearson: 0.9961477438787992, Linear Coefficient: 1.106392935259696
GE: Kendall Tau: 0.8181818181818181, Pearson: 0.9749490044153911, Linear Coefficient: 1.0032472402193389
GF: Kendall Tau: 0.9999999999999999, Pearson: 0.988903757034287, Linear Coefficient: 0.9565528261394369
GG: Kendall Tau: 1.0, Pearson: 0.9993841534123823, Linear Coefficient: 0.9599247278376497
GH: Kendall Tau: 1.0, Pearson: 0.9999867591458145, Linear Coefficient: 0.983514932214082
GI: Kendall Tau: -1.0, Pearson: -0.7799609360105285, Linear Coefficient: 0.7347339214851721
GM: Kendall Tau: 0.6190476190476191, Pearson: 0.9275511967453587, Linear Coefficient: 0.9703376880686236
GN: Kendall Tau: 1.0, Pearson: 0.9995815195731158, Linear Coefficient: 1.0133165186812292
GP: Kendall Tau: 0.8095238095238096, Pearson: 0.9761290177214657, Linear Coefficient: 1.0021952020621037
GQ: Kendall Tau: 0.8666666666666666, Pearson: 0.9626992974265601, Linear Coefficient: 0.890421132200111
GR: Kendall Tau: 0.9999999999999999, Pearson: 0.9632608640560376, Linear Coefficient: 0.8885957358682454
GT: Kendall Tau: 0.8545454545454545, Pearson: 0.9793607935428625, Linear Coefficient: 0.9930591188033341
GU: Kendall Tau: 0.9999999999999999, Pearson: 0.997112553267344, Linear Coefficient: 0.9609131304753816
GY: Kendall Tau: 1.0, Pearson: 0.9834550577011462, Linear Coefficient: 0.9228331847737467
HK: Kendall Tau: 0.6442687747035574, Pearson: 0.9874620879204602, Linear Coefficient: 0.9758915512407746
HN: Kendall Tau: 0.7076023391812866, Pearson: 0.9914884508025954, Linear Coefficient: 0.9367273144198893
HR: Kendall Tau: 0.8222222222222221, Pearson: 0.9771409774532521, Linear Coefficient: 1.0701432452167574
HT: Kendall Tau: 1.0, Pearson: 0.9897807778628215, Linear Coefficient: 0.9467615177107196
HU: Kendall Tau: 0.8888888888888888, Pearson: 0.9523081529625358, Linear Coefficient: 0.8066144702982545
ID: Kendall Tau: 0.7333333333333334, Pearson: 0.9779232358329739, Linear Coefficient: 1.0340975293124643
IE: Kendall Tau: 0.7948717948717947, Pearson: 0.9500540802975111, Linear Coefficient: 0.9420699628486346
IL: Kendall Tau: 0.7090909090909091, Pearson: 0.9073463633836222, Linear Coefficient: 0.9158860785273489
IM: Kendall Tau: 0.7999999999999999, Pearson: 0.9988724386139616, Linear Coefficient: 0.8860564693308797
IN: Kendall Tau: 0.7179487179487178, Pearson: 0.9675264873288506, Linear Coefficient: 0.6332663861950846
IQ: Kendall Tau: 0.734789553809323, Pearson: 0.9678015105274245, Linear Coefficient: 0.7941179154042948
IR: Kendall Tau: 1.0, Pearson: 0.7833862939362609, Linear Coefficient: 0.540860057415589
IS: Kendall Tau: 0.9999999999999999, Pearson: 0.9747279450033369, Linear Coefficient: 0.8974792146192645
IT: Kendall Tau: 0.7454545454545454, Pearson: 0.9910753717562562, Linear Coefficient: 0.9799456247799321
JE: Kendall Tau: 1.0, Pearson: 0.9984456444251428, Linear Coefficient: 0.9810289397355872
JM: Kendall Tau: 1.0, Pearson: 0.9952891471789311, Linear Coefficient: 0.9748946260898653
JO: Kendall Tau: 0.9999999999999999, Pearson: 0.9745321944330979, Linear Coefficient: 0.9905474509941762
JP: Kendall Tau: 0.7428571428571429, Pearson: 0.9625708812659374, Linear Coefficient: 0.8177402587224655
KE: Kendall Tau: 0.8190476190476191, Pearson: 0.9861721931930686, Linear Coefficient: 1.080001493600121
KG: Kendall Tau: 0.7575757575757575, Pearson: 0.9772041630528701, Linear Coefficient: 0.9739340035443318
KH: Kendall Tau: 0.9393939393939392, Pearson: 0.998220184260584, Linear Coefficient: 0.9194170709460247
KN: Kendall Tau: 1.0, Pearson: 0.8377639032855768, Linear Coefficient: 1.0159784785291706
KR: Kendall Tau: 0.9999999999999998, Pearson: 0.9913988949044288, Linear Coefficient: 1.0599009327335993
KW: Kendall Tau: 0.6, Pearson: 0.9113276488568162, Linear Coefficient: 0.9861328016612262
KY: Kendall Tau: 0.9047619047619049, Pearson: 0.9410981222908705, Linear Coefficient: 0.8791457010902257
KZ: Kendall Tau: 0.846153846153846, Pearson: 0.9720893803617624, Linear Coefficient: 0.9339565497518181
LA: Kendall Tau: 0.6666666666666669, Pearson: 0.9946825356368265, Linear Coefficient: 1.0061615590082371
LB: Kendall Tau: 0.7720430107526882, Pearson: 0.9755274122319176, Linear Coefficient: 0.9682413270688736
LC: Kendall Tau: 1.0, Pearson: 0.9989841401685274, Linear Coefficient: 1.0086982748909195
LI: Kendall Tau: 0.7333333333333333, Pearson: 0.9659749263172723, Linear Coefficient: 0.4563870819010789
LK: Kendall Tau: 0.7333333333333333, Pearson: 0.7829065880756328, Linear Coefficient: 0.6936541969138731
LR: Kendall Tau: 0.9999999999999999, Pearson: 0.9994657473048938, Linear Coefficient: 0.9402248483312298
LS: Kendall Tau: 0.33333333333333337, Pearson: 0.988363178038951, Linear Coefficient: 1.0019158242366792
LT: Kendall Tau: 0.8205128205128204, Pearson: 0.9872659866347129, Linear Coefficient: 0.9997995422563738
LU: Kendall Tau: 0.7454545454545454, Pearson: 0.9689882228699153, Linear Coefficient: 0.8220429975775287
LV: Kendall Tau: 0.8181818181818182, Pearson: 0.9348705809974549, Linear Coefficient: 0.9682779302659411
LY: Kendall Tau: 0.7777777777777778, Pearson: 0.8711606295040399, Linear Coefficient: 0.9692581203766233
MA: Kendall Tau: 0.6666666666666669, Pearson: 0.9249848762923717, Linear Coefficient: 0.8406608514805699
MD: Kendall Tau: 0.6444444444444444, Pearson: 0.9559382358373248, Linear Coefficient: 0.907974715153987
ME: Kendall Tau: 0.6666666666666669, Pearson: 0.9736729757358996, Linear Coefficient: 0.993790179083099
MF: Kendall Tau: 0.39999999999999997, Pearson: 0.9833248576889079, Linear Coefficient: 0.8783215824428016
MG: Kendall Tau: 1.0, Pearson: 0.999144128750326, Linear Coefficient: 1.0040645800039616
MK: Kendall Tau: 0.7575757575757575, Pearson: 0.9891901015114428, Linear Coefficient: 0.9371348357895071
ML: Kendall Tau: 1.0, Pearson: 0.9977178826667394, Linear Coefficient: 0.9835038542152169
MM: Kendall Tau: 0.7835497835497836, Pearson: 0.7337575787108656, Linear Coefficient: 1.0640411500003815
MN: Kendall Tau: 0.8333333333333334, Pearson: 0.9823543601200263, Linear Coefficient: 0.7807175462468536
MO: Kendall Tau: 1.0, Pearson: 0.9993892554359666, Linear Coefficient: 0.9552149760501868
MQ: Kendall Tau: 0.9999999999999999, Pearson: 0.9960443115870324, Linear Coefficient: 0.8779750690332784
MR: Kendall Tau: 0.7999999999999999, Pearson: 0.9924218874723735, Linear Coefficient: 0.9034513389118793
MT: Kendall Tau: 1.0, Pearson: 0.9991806371914748, Linear Coefficient: 0.9573162700012335
MU: Kendall Tau: 1.0, Pearson: 0.9993404661812402, Linear Coefficient: 1.0063145212973927
MV: Kendall Tau: 0.6, Pearson: 0.990251504042588, Linear Coefficient: 1.005102825309374
MW: Kendall Tau: 1.0, Pearson: 0.9834857019921541, Linear Coefficient: 0.9546983188234263
MX: Kendall Tau: 0.9166666666666666, Pearson: 0.978583050204853, Linear Coefficient: 0.9998374841942542
MY: Kendall Tau: 0.9999999999999998, Pearson: 0.9127749626621143, Linear Coefficient: 1.0742271358938784
MZ: Kendall Tau: 0.8571428571428571, Pearson: 0.9946945554253769, Linear Coefficient: 0.9215795699001705
NC: Kendall Tau: 0.8666666666666666, Pearson: 0.9799560011154306, Linear Coefficient: 0.9270395702666829
NE: Kendall Tau: 1.0, Pearson: 0.9985236937799166, Linear Coefficient: 1.0603330178469044
NG: Kendall Tau: 0.8666666666666666, Pearson: 0.9955364420054778, Linear Coefficient: 0.9297530549331193
NI: Kendall Tau: 0.7090909090909091, Pearson: 0.9678357569231839, Linear Coefficient: 0.8459508701670769
NL: Kendall Tau: 0.30498664866704095, Pearson: 0.9423606478161667, Linear Coefficient: 0.9099561914438133
NO: Kendall Tau: 0.4545454545454545, Pearson: 0.38153377493730706, Linear Coefficient: 0.2907690241342812
NP: Kendall Tau: 0.9047619047619049, Pearson: 0.9109941700461193, Linear Coefficient: 0.7462164612738794
NZ: Kendall Tau: 0.8181818181818182, Pearson: 0.9882565008251125, Linear Coefficient: 1.0259004528278615
OM: Kendall Tau: 1.0, Pearson: 0.9869987960370946, Linear Coefficient: 1.0621999097408177
PA: Kendall Tau: 0.7999999999999999, Pearson: 0.9987869639651038, Linear Coefficient: 0.968420589297172
PE: Kendall Tau: 0.8181818181818182, Pearson: 0.9463288560535136, Linear Coefficient: 0.9373597934193979
PF: Kendall Tau: 1.0, Pearson: 0.9998103849530394, Linear Coefficient: 1.037628902403797
PG: Kendall Tau: 0.7999999999999999, Pearson: 0.9545589626869067, Linear Coefficient: 0.9412711232189062
PH: Kendall Tau: 0.9636363636363636, Pearson: 0.9799298862763764, Linear Coefficient: 0.9180461380241116
PK: Kendall Tau: 0.8095238095238095, Pearson: 0.9698880320722537, Linear Coefficient: 1.059452071150071
PL: Kendall Tau: 0.8484848484848484, Pearson: 0.986982021830581, Linear Coefficient: 0.867259137337222
PR: Kendall Tau: 0.7142857142857143, Pearson: 0.9851711507942222, Linear Coefficient: 0.9194045518558296
PS: Kendall Tau: 0.8545454545454545, Pearson: 0.99510221068767, Linear Coefficient: 1.104748506971604
PT: Kendall Tau: 0.7777777777777778, Pearson: 0.972473532867473, Linear Coefficient: 0.9062804317732274
PW: Kendall Tau: 0.33333333333333337, Pearson: 0.9839378140251952, Linear Coefficient: 0.9266242770040866
PY: Kendall Tau: 0.6000000000000001, Pearson: 0.9760703530442094, Linear Coefficient: 1.0113701236954453
QA: Kendall Tau: 0.7999999999999999, Pearson: 0.9610395610631585, Linear Coefficient: 1.0495747651870084
RE: Kendall Tau: 0.8095238095238096, Pearson: 0.9438085775936094, Linear Coefficient: 0.9950795969230205
RO: Kendall Tau: 0.8666666666666666, Pearson: 0.9984427562402607, Linear Coefficient: 0.9117350142271801
RS: Kendall Tau: 0.7777777777777777, Pearson: 0.9906623421541807, Linear Coefficient: 0.9668045394613219
RU: Kendall Tau: 0.2387342520911593, Pearson: 0.1223886908619007, Linear Coefficient: 0.3107492528785151
RW: Kendall Tau: 0.7857142857142856, Pearson: 0.9410377052343549, Linear Coefficient: 0.9289406589691424
SA: Kendall Tau: 1.0, Pearson: 0.9703862775437626, Linear Coefficient: 0.9279508303585664
SB: Kendall Tau: 1.0, Pearson: 0.9998601526629625, Linear Coefficient: 0.9617215610540119
SC: Kendall Tau: 0.8666666666666666, Pearson: 0.9981821750663387, Linear Coefficient: 0.3550598460966067
SD: Kendall Tau: 1.0, Pearson: 0.954078326247666, Linear Coefficient: 0.8239366174627706
SE: Kendall Tau: 0.6666666666666665, Pearson: 0.9875955238920373, Linear Coefficient: 0.997063604897966
SG: Kendall Tau: 0.7263157894736842, Pearson: 0.9506456328818522, Linear Coefficient: 0.9227750899318653
SI: Kendall Tau: 0.7999999999999999, Pearson: 0.9898945033495051, Linear Coefficient: 0.9991564824168593
SK: Kendall Tau: 0.9230769230769229, Pearson: 0.9974594115180699, Linear Coefficient: 0.999769510345065
SL: Kendall Tau: 0.6, Pearson: 0.9865340173087492, Linear Coefficient: 0.9165292815999733
SN: Kendall Tau: 1.0, Pearson: 0.9999039089943732, Linear Coefficient: 1.047041927969732
SO: Kendall Tau: 0.911111111111111, Pearson: 0.9937281965243745, Linear Coefficient: 0.9547119085111828
SR: Kendall Tau: 1.0, Pearson: 0.9999530797236477, Linear Coefficient: 0.9946953135746588
SS: Kendall Tau: 0.7878787878787877, Pearson: 0.9982371764146355, Linear Coefficient: 1.00255871217234
SV: Kendall Tau: 1.0, Pearson: 0.9902996444065145, Linear Coefficient: 0.9272383515251809
SX: Kendall Tau: 1.0, Pearson: 0.8807650562542046, Linear Coefficient: 0.9144607691597245
SZ: Kendall Tau: 0.9999999999999999, Pearson: 0.9829223076084026, Linear Coefficient: 0.9372805608501
TD: Kendall Tau: 1.0, Pearson: 0.9962490346379286, Linear Coefficient: 0.9556974082165095
TG: Kendall Tau: 1.0, Pearson: 0.9878452674708889, Linear Coefficient: 1.033448642291645
TH: Kendall Tau: 0.4222222222222222, Pearson: 0.8122000436289596, Linear Coefficient: 0.7861073940145651
TJ: Kendall Tau: 0.8666666666666666, Pearson: 0.9890913083985401, Linear Coefficient: 0.9118316665481178
TL: Kendall Tau: 1.0, Pearson: 0.994472893202872, Linear Coefficient: 0.999832211414418
TM: Kendall Tau: 1.0, Pearson: 0.9993155095011504, Linear Coefficient: 1.056680931289498
TN: Kendall Tau: 0.9047619047619049, Pearson: 0.9856558546250382, Linear Coefficient: 0.9994245923370938
TO: Kendall Tau: 0.33333333333333337, Pearson: 0.7406824750784049, Linear Coefficient: 0.8927437364149623
TR: Kendall Tau: 0.8205128205128204, Pearson: 0.9904332274393279, Linear Coefficient: 1.0055786807302285
TT: Kendall Tau: 0.8095238095238096, Pearson: 0.8958734060322674, Linear Coefficient: 0.9573164730287969
TW: Kendall Tau: 0.7, Pearson: 0.8502266230782658, Linear Coefficient: 1.0818158133912303
TZ: Kendall Tau: 0.8571428571428571, Pearson: 0.9688761958400908, Linear Coefficient: 0.9651519925725465
UA: Kendall Tau: 0.5757575757575758, Pearson: 0.9386943358122064, Linear Coefficient: 0.7318911852609065
UG: Kendall Tau: 0.7777777777777778, Pearson: 0.9954390151324545, Linear Coefficient: 0.9129684239020589
US: Kendall Tau: 0.7533333333333332, Pearson: 0.9551674436469764, Linear Coefficient: 0.8777425971357459
UY: Kendall Tau: 0.6666666666666669, Pearson: 0.9987350725515594, Linear Coefficient: 0.9420454997013551
UZ: Kendall Tau: 0.909090909090909, Pearson: 0.9312217321370745, Linear Coefficient: 0.8540961836845626
VC: Kendall Tau: 1.0, Pearson: 0.9959947204725211, Linear Coefficient: 1.0611965390505518
VE: Kendall Tau: 0.7827436102289345, Pearson: 0.9814292245790647, Linear Coefficient: 1.0405436256824312
VG: Kendall Tau: 0.6666666666666669, Pearson: 0.9470080190348344, Linear Coefficient: 0.9425307042797828
VI: Kendall Tau: 0.6666666666666669, Pearson: 0.9833275648143208, Linear Coefficient: 0.7662479597663537
VN: Kendall Tau: 0.7333333333333333, Pearson: 0.9858150213457708, Linear Coefficient: 0.963514638298445
YT: Kendall Tau: 1.0, Pearson: 0.9999283504321717, Linear Coefficient: 0.5707347944479904
ZA: Kendall Tau: 0.8260869565217391, Pearson: 0.9727783863248883, Linear Coefficient: 1.063874146811659
ZM: Kendall Tau: 0.8666666666666666, Pearson: 0.988143134598614, Linear Coefficient: 1.0302539319002282
ZW: Kendall Tau: 0.8666666666666666, Pearson: 0.9740170624901296, Linear Coefficient: 0.9220460787677112
