AE: Kendall Tau: 0.39999999999999997, Pearson: 0.9812833589044873, Linear Coefficient: 0.915126135336311
CL: Kendall Tau: 0.8222222222222221, Pearson: 0.940264158051911, Linear Coefficient: 0.9012202909471717
CM: Kendall Tau: 0.33333333333333337, Pearson: 0.7719261752032646, Linear Coefficient: 0.7427238937761692
CN: Kendall Tau: 0.5714285714285714, Pearson: 0.953236440450348, Linear Coefficient: 1.1315595387457376
CO: Kendall Tau: 0.7076023391812866, Pearson: 0.9201759926575027, Linear Coefficient: 0.9549252282003562
CR: Kendall Tau: 0.906091176980121, Pearson: 0.9732177571870249, Linear Coefficient: 0.9667938978609357
CV: Kendall Tau: 1.0, Pearson: 0.9999444839652808, Linear Coefficient: 0.9180923807870308
CW: Kendall Tau: 1.0, Pearson: 0.931864545461528, Linear Coefficient: 0.9324627833493686
CY: Kendall Tau: 0.8205128205128204, Pearson: 0.9851801362181593, Linear Coefficient: 1.0341930175773
CZ: Kendall Tau: 0.49999999999999994, Pearson: 0.9761663017634942, Linear Coefficient: 0.7579782126410413
DE: Kendall Tau: 0.673202614379085, Pearson: 0.9830469016304602, Linear Coefficient: 0.7969483269642026
DK: Kendall Tau: 0.7333333333333334, Pearson: 0.9850580871281011, Linear Coefficient: 0.8897631631379215
DM: Kendall Tau: 0.6666666666666669, Pearson: 0.7513717809186452, Linear Coefficient: 0.9669703060430308
DO: Kendall Tau: 0.6725146198830408, Pearson: 0.9804034311257249, Linear Coefficient: 0.9415129393850584
DZ: Kendall Tau: 0.6666666666666669, Pearson: 0.9981681527467207, Linear Coefficient: 0.9385173592937059
EC: Kendall Tau: 0.764705882352941, Pearson: 0.9185713092391276, Linear Coefficient: 0.8467372698141927
EE: Kendall Tau: 0.6727272727272727, Pearson: 0.9749896387756217, Linear Coefficient: 0.8420786607849409
EG: Kendall Tau: 0.7333333333333333, Pearson: 0.9985208713266948, Linear Coefficient: 1.0163543446929648
ES: Kendall Tau: 0.8545454545454545, Pearson: 0.9916725285011468, Linear Coefficient: 1.00256964654801
FI: Kendall Tau: 0.6666666666666666, Pearson: 0.9170224473551956, Linear Coefficient: 0.7227517055830691
FJ: Kendall Tau: 1.0, Pearson: 0.8550992612092562, Linear Coefficient: 0.7264172626395484
FM: Kendall Tau: 0.7999999999999999, Pearson: 0.9701614287630251, Linear Coefficient: 0.9411686305157398
FR: Kendall Tau: 0.8571428571428571, Pearson: 0.9656745754523149, Linear Coefficient: 0.7227899504595781
GA: Kendall Tau: 1.0, Pearson: 0.9177065509478469, Linear Coefficient: 1.0677232366017337
GB: Kendall Tau: 0.676470588235294, Pearson: 0.8629483824044203, Linear Coefficient: 0.6354508671742556
GD: Kendall Tau: 0.6666666666666669, Pearson: 0.9967839640826095, Linear Coefficient: 1.1256189905162526
GE: Kendall Tau: 0.7575757575757575, Pearson: 0.9823160612625426, Linear Coefficient: 0.9543751419490434
GF: Kendall Tau: 0.9999999999999999, Pearson: 0.9855814069261312, Linear Coefficient: 0.9501300538944968
GG: Kendall Tau: 1.0, Pearson: 0.9855041065135228, Linear Coefficient: 0.9087637380424745
GH: Kendall Tau: 1.0, Pearson: 0.992989993624986, Linear Coefficient: 0.8502911870617945
GI: Kendall Tau: -1.0, Pearson: -0.9935899396460782, Linear Coefficient: 0.6686263494737847
GM: Kendall Tau: 0.9047619047619049, Pearson: 0.9542668456933464, Linear Coefficient: 1.0003310227508904
GN: Kendall Tau: 1.0, Pearson: 0.9980009819967564, Linear Coefficient: 0.9885977051235514
GP: Kendall Tau: 0.9047619047619049, Pearson: 0.9917184876257267, Linear Coefficient: 0.9633841900761921
GQ: Kendall Tau: 0.8666666666666666, Pearson: 0.9862575332617212, Linear Coefficient: 0.9519725878385231
GR: Kendall Tau: 0.8666666666666666, Pearson: 0.9587480779134817, Linear Coefficient: 0.8403488370157399
GT: Kendall Tau: 0.7818181818181819, Pearson: 0.9766437455508143, Linear Coefficient: 0.8357882597281752
GU: Kendall Tau: 0.9999999999999999, Pearson: 0.9861790922036668, Linear Coefficient: 0.9859703468463137
GY: Kendall Tau: 1.0, Pearson: 0.9791904513757176, Linear Coefficient: 0.919499715767553
HK: Kendall Tau: 0.4940711462450593, Pearson: 0.9411820976793461, Linear Coefficient: 0.7148729237344985
HN: Kendall Tau: 0.5555555555555555, Pearson: 0.9248276735324995, Linear Coefficient: 0.8099585076217571
HR: Kendall Tau: 0.8666666666666666, Pearson: 0.9975708455434615, Linear Coefficient: 0.9134660342476093
HT: Kendall Tau: 1.0, Pearson: 0.983996337790035, Linear Coefficient: 0.8423714853788672
HU: Kendall Tau: 0.8333333333333334, Pearson: 0.946116112372078, Linear Coefficient: 0.7377960730573402
ID: Kendall Tau: 0.6190476190476191, Pearson: 0.988919065388554, Linear Coefficient: 0.9526705014563407
IE: Kendall Tau: 0.8205128205128204, Pearson: 0.946375616977349, Linear Coefficient: 0.8641287944737834
IL: Kendall Tau: 0.4909090909090909, Pearson: 0.8924061428915465, Linear Coefficient: 0.8322866236732422
IM: Kendall Tau: 0.9999999999999999, Pearson: 0.9994089892447947, Linear Coefficient: 0.8441603499911701
IN: Kendall Tau: 0.6666666666666665, Pearson: 0.8956325802218468, Linear Coefficient: 0.38779414699632514
IQ: Kendall Tau: 0.7316017316017316, Pearson: 0.9546129188324937, Linear Coefficient: 0.7536765090102706
IR: Kendall Tau: 1.0, Pearson: 0.7984529846277091, Linear Coefficient: 0.5219018305729282
IS: Kendall Tau: 0.9999999999999999, Pearson: 0.9682118651610381, Linear Coefficient: 0.7851284088345756
IT: Kendall Tau: 0.7454545454545454, Pearson: 0.9809898056457034, Linear Coefficient: 0.9294958093781872
JE: Kendall Tau: 1.0, Pearson: 0.9988953146117586, Linear Coefficient: 0.9756037983785915
JM: Kendall Tau: 1.0, Pearson: 0.9934110940512815, Linear Coefficient: 0.9464805547723638
JO: Kendall Tau: 0.8666666666666666, Pearson: 0.9981675082189684, Linear Coefficient: 0.9340153667914
JP: Kendall Tau: 0.6253001102209507, Pearson: 0.9445370470433698, Linear Coefficient: 0.7172213715774952
KE: Kendall Tau: 0.7047619047619048, Pearson: 0.981799315561224, Linear Coefficient: 0.8457553556073059
KG: Kendall Tau: 0.6969696969696969, Pearson: 0.9085529963217106, Linear Coefficient: 0.8457850800232577
KH: Kendall Tau: 0.5454545454545454, Pearson: 0.7158347189909399, Linear Coefficient: 0.41887296178868266
KN: Kendall Tau: 1.0, Pearson: 0.8295798511976044, Linear Coefficient: 1.02438247344979
KR: Kendall Tau: 0.7857142857142856, Pearson: 0.9822872653824111, Linear Coefficient: 1.013374937485669
KW: Kendall Tau: 0.6, Pearson: 0.923337196801249, Linear Coefficient: 0.8763594233896739
KY: Kendall Tau: 1.0, Pearson: 0.910460872284802, Linear Coefficient: 0.8408171917101707
KZ: Kendall Tau: 0.769230769230769, Pearson: 0.9608491484584988, Linear Coefficient: 0.8520408106102069
LA: Kendall Tau: 0.6666666666666669, Pearson: 0.9963558828752117, Linear Coefficient: 0.9854538715566685
LB: Kendall Tau: 0.6027990575182594, Pearson: 0.951538516723386, Linear Coefficient: 0.9746592203114712
LC: Kendall Tau: 1.0, Pearson: 0.9999651624980861, Linear Coefficient: 0.9790121953081466
LI: Kendall Tau: 0.6, Pearson: 0.973802892742454, Linear Coefficient: 0.3079136014026223
LK: Kendall Tau: 0.6, Pearson: 0.45415862870359147, Linear Coefficient: 0.6116513752766476
LR: Kendall Tau: 0.6, Pearson: 0.9968869339380875, Linear Coefficient: 0.8819437152914334
LS: Kendall Tau: 1.0, Pearson: 0.9647418553341632, Linear Coefficient: 1.0088190728113802
LT: Kendall Tau: 0.9230769230769229, Pearson: 0.9601527318426951, Linear Coefficient: 1.0747428443104574
LU: Kendall Tau: 0.6727272727272727, Pearson: 0.9638397484770772, Linear Coefficient: 0.7230452210196572
LV: Kendall Tau: 0.7454545454545454, Pearson: 0.9256678336413441, Linear Coefficient: 0.87461627832126
LY: Kendall Tau: 0.8333333333333334, Pearson: 0.9426061701218654, Linear Coefficient: 1.0026853464801024
MA: Kendall Tau: 0.6666666666666669, Pearson: 0.9230428733272463, Linear Coefficient: 0.850058967374171
MD: Kendall Tau: 0.4666666666666666, Pearson: 0.8545116685944858, Linear Coefficient: 0.8133817284318736
ME: Kendall Tau: 0.6666666666666669, Pearson: 0.9797234658257747, Linear Coefficient: 0.9655213055611007
MF: Kendall Tau: 0.39999999999999997, Pearson: 0.9643609128982903, Linear Coefficient: 0.951738071250083
MG: Kendall Tau: 0.6666666666666669, Pearson: 0.9809204858724433, Linear Coefficient: 1.0544043682274633
MK: Kendall Tau: 0.7878787878787877, Pearson: 0.9866918259034756, Linear Coefficient: 0.9059732138873576
ML: Kendall Tau: 1.0, Pearson: 0.9984298354158028, Linear Coefficient: 1.0050366027995528
MM: Kendall Tau: 0.7835497835497836, Pearson: 0.7577184885879057, Linear Coefficient: 0.9798266129032261
MN: Kendall Tau: 0.7777777777777778, Pearson: 0.9500996393717883, Linear Coefficient: 0.6940280853806545
MO: Kendall Tau: 1.0, Pearson: 0.9991830590957839, Linear Coefficient: 0.9601755462306168
MQ: Kendall Tau: 0.9999999999999999, Pearson: 0.9990429432140292, Linear Coefficient: 0.8002404240725698
MR: Kendall Tau: 1.0, Pearson: 0.9999488062428095, Linear Coefficient: 1.0044652923402737
MT: Kendall Tau: 0.6666666666666669, Pearson: 0.9728808564352665, Linear Coefficient: 0.8754994333734294
MU: Kendall Tau: 1.0, Pearson: 0.9994535790529612, Linear Coefficient: 0.9358221893059739
MV: Kendall Tau: 0.7999999999999999, Pearson: 0.9658406316698095, Linear Coefficient: 1.015069742871186
MW: Kendall Tau: 1.0, Pearson: 0.9954648401515044, Linear Coefficient: 0.9618881619715429
MX: Kendall Tau: 0.7999999999999999, Pearson: 0.9811498846357958, Linear Coefficient: 0.9442181545550921
MY: Kendall Tau: 0.7142857142857142, Pearson: 0.858518736887587, Linear Coefficient: 1.01966517185205
MZ: Kendall Tau: 0.9285714285714285, Pearson: 0.9814517959555155, Linear Coefficient: 0.8062538720821315
NC: Kendall Tau: 0.7999999999999999, Pearson: 0.9469272397934524, Linear Coefficient: 0.8938497219692596
NE: Kendall Tau: 1.0, Pearson: 0.9902652380779218, Linear Coefficient: 1.0433352480031988
NG: Kendall Tau: 0.9999999999999999, Pearson: 0.9940463461600604, Linear Coefficient: 0.8287992300486589
NI: Kendall Tau: 0.4909090909090909, Pearson: 0.9720244744895934, Linear Coefficient: 0.7345939018090872
NL: Kendall Tau: 0.2697958815131516, Pearson: 0.9320690300497052, Linear Coefficient: 0.7634883546287615
NO: Kendall Tau: 0.3636363636363636, Pearson: 0.36751955840267947, Linear Coefficient: 0.2658158444400239
NP: Kendall Tau: 0.8285714285714286, Pearson: 0.9683306769191562, Linear Coefficient: 0.8793911430670224
NZ: Kendall Tau: 0.7090909090909091, Pearson: 0.963552736499456, Linear Coefficient: 0.9234472897312931
OM: Kendall Tau: 0.6666666666666669, Pearson: 0.9777741765643175, Linear Coefficient: 1.0256599822373471
PA: Kendall Tau: 0.7999999999999999, Pearson: 0.991966787382162, Linear Coefficient: 0.9036789697408658
PE: Kendall Tau: 0.7454545454545454, Pearson: 0.915821932898903, Linear Coefficient: 0.7225068331010351
PF: Kendall Tau: 1.0, Pearson: 0.996218822241847, Linear Coefficient: 1.0343563568555953
PG: Kendall Tau: 0.6, Pearson: 0.8456785990664724, Linear Coefficient: 0.8264393123068892
PH: Kendall Tau: 0.7454545454545454, Pearson: 0.9805970431933164, Linear Coefficient: 0.8875061493782771
PK: Kendall Tau: 0.7402597402597402, Pearson: 0.9142899088654393, Linear Coefficient: 0.8988188072035835
PL: Kendall Tau: 0.8484848484848484, Pearson: 0.9789114467799221, Linear Coefficient: 0.7460743100081271
PR: Kendall Tau: 0.4285714285714286, Pearson: 0.9504492085544317, Linear Coefficient: 0.7882449978632251
PS: Kendall Tau: 0.7575757575757575, Pearson: 0.9954860648049206, Linear Coefficient: 1.0922222195622926
PT: Kendall Tau: 0.6666666666666666, Pearson: 0.9624269752108607, Linear Coefficient: 0.8143481525693108
PW: Kendall Tau: 0.33333333333333337, Pearson: 0.9962753086642885, Linear Coefficient: 1.0138302285861351
PY: Kendall Tau: 0.5636363636363636, Pearson: 0.9863701976347347, Linear Coefficient: 0.9934656629773073
QA: Kendall Tau: 0.7999999999999999, Pearson: 0.9490979159954103, Linear Coefficient: 1.0211069762608407
RE: Kendall Tau: 0.7142857142857142, Pearson: 0.9346949354108941, Linear Coefficient: 0.9865082832075799
RO: Kendall Tau: 0.8666666666666666, Pearson: 0.9973047256606588, Linear Coefficient: 0.8750096251192206
RS: Kendall Tau: 0.7333333333333333, Pearson: 0.9917617254570043, Linear Coefficient: 0.9881299138085946
RU: Kendall Tau: 0.28297627702937417, Pearson: 0.119141619284086, Linear Coefficient: 0.2842764400217102
RW: Kendall Tau: 0.42857142857142855, Pearson: 0.7230320454856489, Linear Coefficient: 0.8381613807531502
SA: Kendall Tau: 0.9047619047619049, Pearson: 0.9306163327069706, Linear Coefficient: 0.8335140898390014
SB: Kendall Tau: 1.0, Pearson: 0.9994105078714147, Linear Coefficient: 0.9724387694493657
SC: Kendall Tau: 0.4666666666666666, Pearson: 0.9747217050213236, Linear Coefficient: 0.31090676915798554
SD: Kendall Tau: 1.0, Pearson: 0.9782141977123274, Linear Coefficient: 0.8531387487656227
SE: Kendall Tau: 0.6666666666666665, Pearson: 0.9765125021695709, Linear Coefficient: 0.8603901221665979
SG: Kendall Tau: 0.39999999999999997, Pearson: 0.8249335283433291, Linear Coefficient: 0.606184731986574
SI: Kendall Tau: 0.9999999999999999, Pearson: 0.9987105859114901, Linear Coefficient: 0.936824502786749
SK: Kendall Tau: 0.8974358974358972, Pearson: 0.9926044663595087, Linear Coefficient: 0.8543956864487358
SL: Kendall Tau: 0.7333333333333333, Pearson: 0.9890653592344398, Linear Coefficient: 0.8389261619453826
SN: Kendall Tau: 1.0, Pearson: 0.9995677084390885, Linear Coefficient: 1.0424797154268874
SO: Kendall Tau: 0.7333333333333333, Pearson: 0.9966133581824476, Linear Coefficient: 0.9960739777711551
SR: Kendall Tau: 1.0, Pearson: 0.9961584504175989, Linear Coefficient: 0.939238038449744
SS: Kendall Tau: 0.6969696969696969, Pearson: 0.9928559003506349, Linear Coefficient: 0.9038850414679591
SV: Kendall Tau: 0.7222222222222222, Pearson: 0.9697535941465801, Linear Coefficient: 0.8520380016008244
SX: Kendall Tau: 0.33333333333333337, Pearson: 0.8431845011978392, Linear Coefficient: 0.948518100928676
SZ: Kendall Tau: 0.9999999999999999, Pearson: 0.9686176401356532, Linear Coefficient: 0.8480520202843678
TD: Kendall Tau: 1.0, Pearson: 0.9826739176504522, Linear Coefficient: 0.8474506924618824
TG: Kendall Tau: 1.0, Pearson: 0.9869577430207878, Linear Coefficient: 1.0240256741680147
TH: Kendall Tau: 0.37777777777777777, Pearson: 0.7854068082671751, Linear Coefficient: 0.6474134232930948
TJ: Kendall Tau: 0.6, Pearson: 0.9419710505695204, Linear Coefficient: 0.706200790528875
TL: Kendall Tau: 1.0, Pearson: 0.9903802455111614, Linear Coefficient: 0.9815037725576443
TM: Kendall Tau: 1.0, Pearson: 0.9990033219962529, Linear Coefficient: 1.0701824552056087
TN: Kendall Tau: 0.8095238095238096, Pearson: 0.9896195766286613, Linear Coefficient: 0.9855793872903582
TO: Kendall Tau: 0.33333333333333337, Pearson: 0.6156483321834482, Linear Coefficient: 0.8961848180277875
TR: Kendall Tau: 0.7948717948717947, Pearson: 0.9939814720709341, Linear Coefficient: 1.0049212131606005
TT: Kendall Tau: 0.9047619047619049, Pearson: 0.8769823359349808, Linear Coefficient: 0.9488267050110066
TW: Kendall Tau: 0.65, Pearson: 0.7986319665588153, Linear Coefficient: 1.1291107879778637
TZ: Kendall Tau: 0.9999999999999998, Pearson: 0.9773858556628646, Linear Coefficient: 0.909735938740627
UA: Kendall Tau: 0.5434833977879608, Pearson: 0.9294887391625914, Linear Coefficient: 0.5755201363871323
UG: Kendall Tau: 0.9444444444444445, Pearson: 0.9962627438256798, Linear Coefficient: 0.8014275151218452
US: Kendall Tau: 0.7199999999999999, Pearson: 0.9345607230576544, Linear Coefficient: 0.7316639738296814
UY: Kendall Tau: 0.6666666666666669, Pearson: 0.9996342264123349, Linear Coefficient: 0.9780587167579812
UZ: Kendall Tau: 0.909090909090909, Pearson: 0.984435278499533, Linear Coefficient: 0.936888455428642
VC: Kendall Tau: 1.0, Pearson: 0.9986149713206792, Linear Coefficient: 1.0049768932573941
VE: Kendall Tau: 0.68, Pearson: 0.9612159488053398, Linear Coefficient: 0.914591219585274
VG: Kendall Tau: 0.6666666666666669, Pearson: 0.92431757246133, Linear Coefficient: 0.9842428868311357
VI: Kendall Tau: 0.6666666666666669, Pearson: 0.8238021632670883, Linear Coefficient: 0.5668346820244763
VN: Kendall Tau: 0.8666666666666666, Pearson: 0.9863160806645583, Linear Coefficient: 0.9095410378862293
YT: Kendall Tau: 0.33333333333333337, Pearson: 0.996521031026384, Linear Coefficient: 0.6002309909627762
ZA: Kendall Tau: 0.83399209486166, Pearson: 0.9898297491546852, Linear Coefficient: 0.9333154374935668
ZM: Kendall Tau: 0.8666666666666666, Pearson: 0.9951330441466608, Linear Coefficient: 0.9065874156536736
ZW: Kendall Tau: 0.4666666666666666, Pearson: 0.8426224923449009, Linear Coefficient: 0.7697374629906785
